macro,n_participants,cv_median_mae_g,cv_q1_mae_g,cv_q3_mae_g,b0_median_mae_g,b0_q1_mae_g,b0_q3_mae_g,delta_median_mae_g,delta_q1_mae_g,delta_q3_mae_g
carbs_g,45,34.71785714285714,31.7764705882353,38.59444444444445,27.057142857142857,25.7,29.066666666666666,7.9452380952381,4.637499999999999,11.04333333333334
protein_g,45,20.557499999999997,19.2390243902439,22.75,19.575,18.318181818181817,21.22222222222222,0.9824999999999982,0.372131147540987,1.6682926829268254
fat_g,45,13.046341463414636,11.92,14.379487179487182,12.5,11.1875,13.411764705882353,0.4875000000000007,-0.0964285714285733,1.3631578947368421
fiber_g,45,4.13,3.4583333333333335,4.735294117647058,3.8421052631578947,3.6,4.433333333333334,0.1599999999999997,-0.13220338983050928,0.4049999999999998
